"Korea, Dem. People¡¯s Rep.",PRK,24854034
Portugal,PRT,10514844
Paraguay,PRY,6379219
West Bank and Gaza,PSE,4046901
Pacific island small states,PSS,2271298
Post-demographic dividend,PST,1082722218
French Polynesia,PYF,271703
Qatar,QAT,2109568
Romania,ROU,20058035
Russian Federation,RUS,143201676
Rwanda,RWA,10788853
South Asia,SAS,1676614288
Saudi Arabia,SAU,29086357
Sudan,SDN,35990192
Senegal,SEN,13703513
Singapore,SGP,5312437
Solomon Islands,SLB,551531
Sierra Leone,SLE,6766103
El Salvador,SLV,6221246
San Marino,SMR,31914
Somalia,SOM,12763776
Serbia,SRB,7199077
Sub-Saharan Africa (excluding high income),SSA,926459874.1
South Sudan,SSD,10818258
Sub-Saharan Africa,SSF,926548177.1
Small states,SST,36873246
Sao Tome and Principe,STP,182889
Suriname,SUR,537077
Slovak Republic,SVK,5407579
Slovenia,SVN,2057159
Sweden,SWE,9519374
Swaziland,SWZ,1248158
Sint Maarten (Dutch part),SXM,34640
Seychelles,SYC,88303
Syrian Arab Republic,SYR,20420701
Turks and Caicos Islands,TCA,32431
Chad,TCD,12705135
East Asia & Pacific (IDA & IBRD countries),TEA,1968120178
Europe & Central Asia (IDA & IBRD countries),TEC,445769749
Togo,TGO,6859482
Thailand,THA,67843979
Tajikistan,TJK,7995062
Turkmenistan,TKM,5267839
Latin America & the Caribbean (IDA & IBRD countries),TLA,594330743
Timor-Leste,TLS,1156760
Middle East & North Africa (IDA & IBRD countries),TMN,344148796
Tonga,TON,104951
South Asia (IDA & IBRD),TSA,1676614288
Sub-Saharan Africa (IDA & IBRD countries),TSS,926548177.1
Trinidad and Tobago,TTO,1341588
Tunisia,TUN,10886668
Turkey,TUR,74569867
Tuvalu,TUV,10725
Tanzania,TZA,49082997
Uganda,UGA,36306796
Ukraine,UKR,45593300
Upper middle income,UMC,2501989805
Uruguay,URY,3396777
United States,USA,313998379
Uzbekistan,UZB,29774500
St. Vincent and the Grenadines,VCT,109328
"Venezuela, RB",VEN,29893080
British Virgin Islands,VGB,28509
Virgin Islands (U.S.),VIR,105275
Vietnam,VNM,88809200
Vanuatu,VUT,247485
World,WLD,7097400665
Samoa,WSM,189194
Kosovo,XKX,1805200
"Yemen, Rep.",YEM,24909969
South Africa,ZAF,52506515.08
Zambia,ZMB,14699937
Zimbabwe,ZWE,14710826
